,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
72,Chuy,2,UY,1574541055,63,-33.69,-53.46,17.97,5.75
73,Comodoro Rivadavia,75,AR,1574541056,72,-45.87,-67.48,17.0,1.0
74,Mandalgovi,0,MN,1574541059,55,45.76,106.27,-17.28,6.1
75,Zyryanka,100,RU,1574541060,98,65.73,150.89,-27.6,1.75
76,Puerto Ayora,15,EC,1574540983,57,-0.74,-90.35,23.82,8.7
77,Port Hedland,100,AU,1574541064,69,-20.31,118.58,25.0,2.6
78,Upernavik,100,GL,1574541066,61,72.79,-56.15,-3.67,7.74
79,Tiksi,98,RU,1574541067,91,71.64,128.87,-30.58,2.65
80,Gazanjyk,0,TM,1574541068,44,39.24,55.52,-5.1,3.86
81,Mount Isa,0,AU,1574541070,15,-20.73,139.49,28.0,4.6
82,Riohacha,20,CO,1574541003,70,11.54,-72.91,31.0,8.2
83,Hami,0,CN,1574541072,21,42.84,93.51,-7.71,2.04
84,Qaanaaq,100,GL,1574541073,64,77.48,-69.36,-13.36,3.9
85,Chapais,90,CA,1574541074,92,49.78,-74.86,-5.0,4.6
86,Kahului,40,US,1574541076,69,20.89,-156.47,24.93,10.3
87,Clyde River,90,CA,1574541077,92,70.47,-68.59,-7.0,9.3
88,Pontian Kecil,75,MY,1574541078,94,1.48,103.39,25.32,1.25
89,Vardo,90,US,1574541079,56,39.62,-77.74,4.64,4.6
90,Along,100,IN,1574541080,98,28.17,94.8,15.52,0.83
91,Kenai,20,US,1574541082,69,60.55,-151.26,1.9,6.7
92,Clermont,90,FR,1574541083,87,49.38,2.41,7.61,1.0
93,Muros,40,ES,1574541084,100,42.77,-9.06,10.03,2.1
94,Iqaluit,75,CA,1574541086,68,63.75,-68.52,-2.12,6.2
95,Puerto Leguizamo,96,CO,1574541087,56,-0.19,-74.78,30.91,1.06
96,Nemuro,100,JP,1574541088,92,43.32,145.57,10.28,9.13
97,Tulum,40,MX,1574541090,66,20.21,-87.46,28.93,4.1
98,Hobart,75,AU,1574541003,53,-42.88,147.33,11.1,2.6
99,Tuktoyaktuk,75,CA,1574541092,84,69.44,-133.03,-14.0,2.16
100,Kodiak,1,US,1574541093,52,39.95,-94.76,7.4,5.1
101,Souillac,100,FR,1574541094,87,45.6,-0.6,9.06,2.6
102,Sabang,100,PH,1574541096,96,13.8,121.11,22.34,1.59
103,Cayenne,20,GF,1574541097,66,4.94,-52.33,30.0,3.6
104,Kloulklubed,75,PW,1574541098,88,7.04,134.26,25.0,2.1
105,Labuhan,100,ID,1574541099,95,-2.54,115.51,22.26,0.58
106,Port Lincoln,0,AU,1574541100,70,-34.72,135.86,13.21,1.69
107,Dicabisagan,64,PH,1574541103,85,17.08,122.42,24.66,2.73
108,Bathsheba,40,BB,1574541087,66,13.22,-59.52,30.0,7.2
109,Barrow,74,AR,1574541105,19,-38.31,-60.23,24.82,6.12
110,Hofn,100,IS,1574541107,84,64.25,-15.21,7.08,8.72
111,Sao Filipe,66,CV,1574541108,79,14.9,-24.5,22.56,7.35
112,Port Alfred,52,ZA,1574541109,83,-33.59,26.89,19.44,0.89
113,Beyneu,0,KZ,1574541112,38,45.32,55.19,-5.32,2.18
114,Zambezi,86,ZM,1574541113,92,-13.55,23.12,19.96,1.56
115,Qasigiannguit,75,GL,1574541115,74,68.82,-51.19,1.0,3.6
116,Namibe,6,AO,1574541117,75,-15.19,12.15,21.73,6.47
117,Airai,0,TL,1574541118,51,-8.93,125.41,20.15,1.57
118,Kindu,100,CD,1574541119,99,-2.95,25.92,19.15,1.05
119,Soyo,20,AO,1574541120,83,-6.13,12.37,27.0,4.1
120,Portland,1,US,1574540834,30,43.66,-70.25,4.39,4.1
121,San Quintin,100,PH,1574541123,82,17.54,120.52,21.72,1.86
122,Annau,90,TM,1574541124,86,37.89,58.52,-3.0,3.1
123,Arlit,0,NE,1574541125,15,18.74,7.39,29.11,3.92
124,Nouakchott,0,MR,1574541126,68,18.08,-15.98,22.0,3.6
125,Yumen,0,CN,1574541130,27,40.29,97.04,-12.62,5.86
126,Zhob,100,PK,1574541133,41,31.34,69.45,9.57,0.77
127,Lavrentiya,99,RU,1574541134,82,65.58,-170.99,-10.92,6.51
128,Vao,58,EE,1574541135,51,59.1,26.19,-4.05,2.73
129,Catuday,100,PH,1574541136,80,16.29,119.81,26.96,4.06
130,Fort Nelson,20,CA,1574541138,55,58.81,-122.69,3.0,2.6
131,Luena,100,AO,1574541140,95,-11.78,19.91,17.43,1.62
132,College,90,US,1574541142,100,64.86,-147.8,-5.38,0.97
133,Thompson,90,CA,1574541144,92,55.74,-97.86,-4.0,3.1
134,Feijo,75,EC,1574541145,61,-3.63,-79.92,30.15,1.5
135,Atar,0,MR,1574541147,26,20.52,-13.05,22.21,3.22
136,East London,40,ZA,1574541148,94,-33.02,27.91,20.0,2.1
137,Miandrivazo,71,MG,1574541150,58,-19.53,45.46,27.13,0.99
138,Nevsehir,97,TR,1574541151,36,38.62,34.71,0.0,0.5
139,Necochea,55,AR,1574541128,60,-38.55,-58.74,15.56,2.68
140,Shimoda,100,JP,1574541155,95,34.7,138.93,15.28,11.4
141,Mwinilunga,82,ZM,1574541157,99,-11.73,24.43,16.11,1.63
142,Sol-Iletsk,45,RU,1574541159,83,51.16,55.0,-10.5,3.4
143,Mar del Plata,100,AR,1574541160,46,-46.43,-67.52,18.58,3.13
144,Marsa Matruh,0,EG,1574541161,67,31.35,27.25,16.0,1.64
145,Nikolskoye,100,RU,1574541162,78,59.7,30.79,-7.37,2.0
146,Ribeira Grande,75,PT,1574541164,94,38.52,-28.7,20.0,9.3
147,Cidreira,40,BR,1574541165,66,-30.17,-50.22,19.93,6.66
148,San Cristobal,70,HN,1574541166,73,14.68,-86.92,24.83,1.92
149,Sitka,0,US,1574541167,39,37.17,-99.65,12.78,4.02
150,Mecca,40,SA,1574540925,62,21.43,39.83,23.5,0.68
151,Jimenez,40,PA,1574541170,66,8.54,-82.37,25.09,4.6
152,Kavieng,71,PG,1574541171,78,-2.57,150.8,27.13,3.81
153,Bulgan,0,MN,1574541172,72,48.81,103.53,-22.11,2.06
154,Kabinda,100,CD,1574541173,97,-6.14,24.49,18.54,1.28
155,Touros,26,BR,1574541074,65,-5.2,-35.46,28.0,7.2
156,Bethel,90,US,1574540882,100,60.79,-161.76,-5.29,3.1
157,Paamiut,100,GL,1574541178,63,61.99,-49.67,1.08,7.2
158,Anadyr,20,RU,1574541179,76,64.73,177.51,-23.94,2.0
159,Mahebourg,75,MU,1574541182,88,-20.41,57.7,25.33,0.95
160,Yulara,78,AU,1574541183,16,-25.24,130.99,21.0,3.6
161,Waingapu,1,ID,1574541184,71,-9.65,120.26,28.07,2.47
162,Husavik,100,CA,1574541185,81,50.56,-96.99,2.52,2.24
163,Henties Bay,0,NA,1574541187,85,-22.12,14.28,16.11,4.02
164,Garden City,1,US,1574540892,42,43.62,-116.24,6.94,1.5
165,Eydhafushi,96,MV,1574541190,79,5.1,73.07,28.61,8.85
166,Lebu,75,ET,1574541191,82,8.96,38.73,15.0,2.1
167,El Dorado,40,TT,1574541193,79,10.65,-61.37,28.04,3.6
168,Rocha,0,UY,1574541194,67,-34.48,-54.34,16.21,5.62
169,Mitsamiouli,100,KM,1574541195,81,-11.38,43.28,27.41,1.67
170,Sestri Levante,90,IT,1574541196,87,44.27,9.41,13.45,12.3
171,Sanctorum,20,MX,1574541199,22,19.1,-98.25,25.0,3.1
172,Isangel,100,VU,1574541200,60,-19.55,169.27,24.0,3.1
173,Jamestown,0,AU,1574541201,61,-33.21,138.6,12.86,3.62
174,Culiacan,20,MX,1574540937,51,24.8,-107.39,29.06,1.0
175,Kitui,100,KE,1574541205,89,-1.37,38.02,19.44,1.96
176,Ossora,64,RU,1574541206,79,59.24,163.07,-8.31,2.31
177,Shepsi,0,RU,1574541207,60,44.04,39.15,11.71,3.78
178,Codrington,0,AU,1574541208,88,-28.95,153.24,19.67,2.6
179,Taksimo,99,RU,1574541210,85,56.36,114.84,-28.74,0.52
180,Ippy,50,CF,1574541211,60,6.26,21.2,22.21,1.96
181,Aswan,0,EG,1574541212,22,24.09,32.9,20.0,2.6
182,Santa Isabel do Rio Negro,77,BR,1574541213,70,-0.41,-65.02,29.87,1.52
183,Vilhena,40,BR,1574541214,83,-12.74,-60.15,25.0,2.6
184,Porto Novo,75,BR,1574541216,73,-23.68,-45.44,23.0,5.1
185,Fukue,75,JP,1574541217,77,35.03,136.69,13.74,3.6
186,Aklavik,20,CA,1574541218,83,68.22,-135.01,-17.24,1.5
187,Grootfontein,58,NA,1574541220,49,-19.56,18.1,23.7,2.15
188,Soledade,40,BR,1574541221,33,-7.06,-36.37,33.0,4.6
189,Guiyang,90,CN,1574541222,77,26.58,106.71,16.0,2.0
190,Dharchula,0,IN,1574541223,44,29.85,80.53,3.61,5.4
191,Ixtapa,75,MX,1574541225,66,20.71,-105.21,28.94,4.1
192,Nanortalik,9,GL,1574541226,65,60.14,-45.24,1.47,2.96
193,Luderitz,0,NA,1574541227,77,-26.65,15.16,15.93,11.19
194,Kendari,21,ID,1574541228,96,-3.99,122.52,22.19,0.86
195,Laguna,20,BZ,1574541231,74,16.17,-88.94,29.0,3.1
196,Nueva Guinea,12,NI,1574540969,72,11.69,-84.46,28.6,2.96
197,Fairbanks,90,US,1574541173,100,64.84,-147.72,-5.34,0.96
198,Pocoes,100,BR,1574541236,57,-14.53,-40.37,24.78,1.63
199,Padang,100,ID,1574541237,96,-0.92,100.36,19.85,1.23
200,Menongue,85,AO,1574541238,80,-14.66,17.68,17.73,1.26
201,Hermanus,2,ZA,1574541239,88,-34.42,19.24,16.36,0.45
202,Kieta,85,PG,1574541241,74,-6.22,155.63,26.48,4.51
203,Umm Lajj,0,SA,1574541242,46,25.02,37.27,20.36,2.24
204,Borba,1,BR,1574541243,58,-4.39,-59.59,30.93,1.02
205,Maiduguri,88,NG,1574541244,16,11.84,13.15,27.92,3.23
206,Iwanai,100,JP,1574541247,86,42.97,140.51,4.0,2.96
207,Tautira,40,PF,1574541249,70,-17.73,-149.15,28.94,3.6
208,Amot,100,NO,1574541250,94,59.57,7.99,2.78,0.45
209,Luau,63,CD,1574541252,96,-10.7,22.23,18.25,1.22
210,Ancud,75,CL,1574541254,72,-41.87,-73.83,15.0,7.2
211,Santa Isabel,20,MX,1574541256,30,32.63,-115.58,20.63,3.1
212,Narsaq,20,GL,1574541257,58,60.91,-46.05,-4.0,1.5
213,Gao,0,ML,1574541258,19,16.28,-0.04,28.48,5.22
214,Vila Velha,20,BR,1574541260,70,-3.71,-38.6,28.73,6.7
215,Noumea,90,NC,1574541203,60,-22.28,166.46,23.47,6.7
216,Gravdal,100,NO,1574541262,70,59.79,5.78,6.34,2.6
217,Saskylakh,100,RU,1574541263,100,71.97,114.09,-31.71,1.04
218,Klaksvik,100,FO,1574541264,93,62.23,-6.59,7.0,1.5
219,Vila do Maio,75,CV,1574541266,69,15.13,-23.22,24.0,7.2
220,Gujan-Mestras,85,FR,1574541267,1,44.63,-1.08,10.03,4.6
221,Palora,90,EC,1574541268,93,-1.7,-77.97,20.12,1.5
222,Manggar,100,ID,1574541269,71,-2.88,108.27,27.79,0.66
223,Kaitangata,43,NZ,1574541270,81,-46.28,169.85,12.9,12.33
224,Kultuk,0,RU,1574541272,71,51.73,103.71,-21.1,3.43
225,Komsomolskiy,79,RU,1574541273,81,67.55,63.78,-16.18,1.04
226,Haines Junction,90,CA,1574541274,95,60.75,-137.51,-6.48,2.67
227,General Roca,90,AR,1574541275,56,-39.03,-67.58,22.0,11.3
228,Naze,75,NG,1574541276,88,5.43,7.07,27.0,1.5
229,General Pico,99,AR,1574541278,27,-35.66,-63.75,24.29,4.7
230,Ambilobe,52,MG,1574541279,87,-13.19,49.05,25.3,2.92
231,Norrtalje,75,SE,1574541280,86,59.76,18.7,3.48,2.1
232,Ulladulla,75,AU,1574541281,82,-35.36,150.48,14.36,3.1
233,Obo,100,CF,1574541283,93,5.39,26.49,20.45,1.85
234,Jalalabad,1,AF,1574541284,81,34.43,70.46,12.0,0.65
235,Pisco,75,PE,1574541287,30,-13.71,-76.2,21.21,7.7
236,Kalabo,79,ZM,1574541289,88,-15.0,22.67,20.61,0.7
237,Omboue,100,GA,1574541291,96,-1.57,9.26,24.17,1.59
238,Bambous Virieux,75,MU,1574541292,88,-20.34,57.76,25.32,4.28
239,Smithers,90,CA,1574541006,98,54.78,-127.17,1.0,1.5
240,Saint-Francois,100,FR,1574541294,93,46.42,3.91,8.53,1.0
241,Mae Sai,45,MM,1574541295,100,20.44,99.89,18.0,1.0
242,Zhireken,0,RU,1574541298,87,52.82,117.29,-25.71,1.73
243,Saint George,40,GR,1574541299,82,39.45,22.34,14.14,1.43
244,Provideniya,54,RU,1574541300,85,64.42,-173.23,-16.73,2.9
245,Baculin,69,PH,1574541301,84,7.45,126.58,22.5,2.47
246,Victoria,75,BN,1574541010,88,5.28,115.24,25.0,0.79
247,Caravelas,0,BR,1574541304,80,-17.73,-39.27,25.33,4.57
248,Saldanha,7,PT,1574541306,90,41.42,-6.55,5.4,4.21
249,Marsh Harbour,78,BS,1574541307,60,26.54,-77.06,23.77,5.02
250,Afua,100,NG,1574541309,95,5.27,7.87,24.59,1.79
251,Ponta do Sol,77,BR,1574541310,79,-20.63,-46.0,23.21,2.37
252,Jaisalmer,21,IN,1574541311,52,26.91,70.91,20.68,3.51
253,Luancheng,100,CN,1574541312,75,37.88,114.65,8.0,3.0
254,Lyngseidet,75,NO,1574541314,86,69.58,20.21,2.06,3.6
255,Pevek,100,RU,1574541225,95,69.7,170.27,-22.72,0.83
256,Saint-Philippe,75,CA,1574541303,59,45.36,-73.48,2.49,6.2
257,Denpasar,40,ID,1574541287,88,-8.65,115.22,27.0,1.0
258,Santa Cruz,32,BR,1574541320,66,-6.22,-36.02,25.75,5.08
259,Florianopolis,75,BR,1574541070,82,-27.6,-48.55,19.41,10.8
260,Zhezkazgan,0,KZ,1574541323,77,47.8,67.71,-12.44,0.84
261,Port-Gentil,40,GA,1574541325,88,-0.72,8.78,27.0,3.6
262,Garissa,100,KE,1574541326,70,-0.46,39.64,27.5,1.8
263,Oistins,40,BB,1574541236,66,13.07,-59.53,30.0,7.2
264,Cabo San Lucas,20,MX,1574541328,64,22.89,-109.91,25.8,1.5
265,Boa Vista,75,BR,1574541144,55,2.82,-60.67,31.0,4.1
266,Avera,75,US,1574541331,93,33.19,-82.53,20.04,4.51
267,Taltal,9,CL,1574541332,69,-25.41,-70.49,18.28,3.77
268,Auki,3,NG,1574541333,19,12.18,6.51,27.85,3.52
269,Ostersund,100,SE,1574541335,93,63.18,14.64,1.15,6.7
270,Northam,12,AU,1574541336,72,-31.65,116.67,17.0,3.6
271,Trinidad,75,BO,1574541337,62,-14.83,-64.9,31.0,2.6
272,Mayumba,0,GA,1574541338,84,-3.44,10.65,26.73,5.25
273,Flinders,75,AU,1574541339,82,-34.58,150.85,17.22,3.1
274,Brae,100,GB,1574541341,93,60.4,-1.35,9.0,8.7
275,Dekar,100,BW,1574541342,34,-21.53,21.93,29.65,4.11
276,Tairua,0,NZ,1574541343,73,-37.02,175.85,20.36,3.58
277,Bahia Honda,4,CU,1574541344,64,22.9,-83.16,26.88,1.64
278,Balkanabat,0,TM,1574541346,42,39.51,54.36,-5.43,1.89
279,Pangody,12,RU,1574541347,96,65.85,74.49,-23.7,4.16
280,Ola,100,RU,1574541348,79,59.58,151.3,-5.4,17.02
281,Wahiawa,75,US,1574541351,83,21.5,-158.02,26.07,5.7
282,Yerbogachen,100,RU,1574541310,96,61.28,108.01,-21.89,3.61
283,Ouro Sogui,0,SN,1574541355,33,15.61,-13.32,32.0,4.22
284,Khandyga,65,RU,1574541356,99,62.65,135.58,-36.06,0.91
285,Arandis,0,NA,1574541357,85,-22.42,14.98,16.11,4.02
286,Coquimbo,75,CL,1574541063,56,-29.95,-71.34,23.19,5.1
287,Tuatapere,0,NZ,1574541359,66,-46.13,167.69,16.67,7.15
288,Porto Velho,75,BR,1574541361,83,-8.75,-63.87,26.0,2.6
289,Faanui,62,PF,1574541362,77,-16.48,-151.75,27.4,6.97
290,Mon,100,IN,1574541365,96,26.73,95.03,12.22,1.28
291,Tibati,0,CM,1574541367,40,6.47,12.63,23.33,1.74
292,Nantucket,1,US,1574541106,56,41.28,-70.1,5.68,5.7
293,Baykit,100,RU,1574541370,95,61.68,96.39,-15.57,2.44
294,Geraldton,90,CA,1574541272,86,49.72,-86.95,-1.0,3.1
295,Catumbela,14,AO,1574541372,75,-12.43,13.55,23.93,1.58
296,Severo-Yeniseyskiy,100,RU,1574541373,87,60.37,93.04,-14.57,6.26
297,Playa Vicente,58,MX,1574541374,69,17.83,-95.81,27.92,2.55
298,Mkushi,100,ZM,1574541376,96,-13.61,29.4,18.76,0.8
299,Jinchang,13,CN,1574541377,35,38.52,102.19,-9.5,1.82
300,Umtata,81,ZA,1574541378,100,-31.59,28.78,16.0,5.1
301,Jawhar,56,IN,1574541381,63,19.91,73.23,22.7,1.84
302,Viedma,80,AR,1574541382,24,-40.81,-62.99,22.7,10.77
303,Maceio,20,BR,1574541161,69,-9.67,-35.74,27.0,5.1
304,Halifax,20,CA,1574541171,64,44.65,-63.58,1.3,5.7
305,Urucara,59,BR,1574541386,58,-2.54,-57.76,30.5,1.94
306,Verkhoyansk,18,RU,1574541387,83,67.55,133.39,-39.31,1.12
307,Riviere-au-Renard,75,CA,1574541388,80,49.0,-64.4,0.0,9.3
308,Natal,52,BR,1574541389,65,-5.81,-35.21,28.0,7.2
309,Mareeba,40,AU,1574541272,88,-16.99,145.42,20.07,0.78
310,Birjand,100,IR,1574541392,49,32.86,59.22,2.0,2.1
311,Kirkuk,0,IQ,1574541396,30,35.47,44.4,9.49,0.57
312,Tigil,100,RU,1574541335,73,57.8,158.67,-6.3,6.0
313,Homer,1,US,1574541398,59,59.64,-151.54,1.39,4.6
314,Pachino,20,IT,1574541400,72,36.72,15.09,15.58,4.6
315,Waipawa,0,NZ,1574541401,72,-39.94,176.59,19.44,1.79
316,Bourges,90,FR,1574541402,93,47.08,2.4,9.69,2.1
317,Sao Joao da Barra,75,BR,1574541403,88,-21.64,-41.05,25.0,5.1
318,Loandjili,94,CG,1574541404,84,-4.77,11.87,25.81,3.34
319,Santa Vitoria,35,BR,1574541406,71,-7.82,-67.03,28.8,2.04
320,Surt,33,LY,1574541407,43,31.21,16.59,19.17,5.5
321,Tilichiki,0,RU,1574541408,82,60.47,166.1,-18.92,3.09
322,Borogontsy,93,RU,1574541411,99,62.67,131.17,-32.36,2.11
323,Petukhovo,100,RU,1574541412,94,55.06,67.89,-8.22,4.86
324,Pimentel,69,BR,1574541413,83,-3.7,-45.5,26.57,1.19
325,Boma,0,GH,1574541414,71,7.08,-2.17,24.64,1.43
326,Tecoanapa,40,MX,1574541415,74,16.99,-99.26,30.0,2.6
327,Constantine,75,DZ,1574541417,81,36.36,6.61,8.0,6.2
328,Lagoa,59,PT,1574541166,71,37.14,-8.45,13.37,4.6
329,Miranda,100,BR,1574541420,42,-20.24,-56.38,32.15,1.25
330,Coari,88,BR,1574541421,73,-4.09,-63.14,29.91,1.22
331,Axim,21,GH,1574541422,86,4.87,-2.24,25.62,1.82
332,Kruisfontein,11,ZA,1574541424,87,-34.0,24.73,14.24,2.9
333,Mountain Home,1,US,1574541426,52,43.13,-115.69,7.26,0.96
334,Boende,100,CD,1574541427,96,-0.28,20.88,19.94,1.45
335,Margate,75,AU,1574541428,53,-43.03,147.26,11.18,2.6
336,Dese,90,IT,1574541431,93,45.53,12.3,13.32,3.6
337,Yaan,84,NG,1574541432,65,7.38,8.57,27.98,2.59
338,Mount Pleasant,1,US,1574541433,47,33.16,-94.97,12.43,5.1
339,Orapa,74,BW,1574541435,57,-21.28,25.37,25.24,4.46
340,Mayo,75,CA,1574541436,92,63.59,-135.9,-11.0,1.43
341,Bahir Dar,100,ET,1574541437,93,11.59,37.39,15.45,3.18
342,Araouane,0,ML,1574541388,11,18.9,-3.53,23.16,2.79
343,Aksarka,100,RU,1574541441,88,66.56,67.8,-19.92,1.67
344,Basoko,100,CD,1574541442,92,1.23,23.61,21.11,1.33
345,Mitchell,1,US,1574541289,48,43.71,-98.03,9.03,4.6
346,Bull Savanna,75,JM,1574541445,76,17.89,-77.59,23.98,1.91
347,Severo-Kurilsk,100,RU,1574541258,98,50.68,156.12,1.05,3.52
348,Dalby,9,AU,1574541447,77,-27.18,151.26,22.09,4.1
349,Guerrero Negro,97,MX,1574541308,38,27.97,-114.04,22.86,3.09
350,Warrnambool,37,AU,1574541449,93,-38.38,142.48,8.33,4.19
351,Talnakh,21,RU,1574541452,76,69.49,88.39,-24.0,4.0
352,Berlevag,68,NO,1574541287,74,70.86,29.09,3.37,7.58
353,Panguna,100,PG,1574541456,90,-6.32,155.48,21.95,1.05
354,Rapid Valley,1,US,1574541457,19,44.06,-103.15,12.47,7.7
355,Maningrida,0,AU,1574541458,77,-12.05,134.23,25.42,1.03
356,Catabola,23,AO,1574541459,94,-12.14,17.29,17.33,1.39
357,Kristiansund,0,NO,1574541461,69,63.12,7.73,2.56,8.2
358,Sayaxche,52,GT,1574541462,56,16.52,-90.17,30.63,0.77
359,Maltahohe,40,NA,1574541463,10,-24.83,16.98,19.87,5.85
360,Charagua,75,BO,1574541464,83,-19.79,-63.2,24.0,1.5
361,Mariestad,100,SE,1574541466,100,58.71,13.82,4.05,3.6
362,Shingu,75,JP,1574541467,74,33.72,135.99,18.62,2.65
363,Seoul,20,KR,1574541341,93,37.57,126.98,6.12,0.5
364,Nhulunbuy,40,AU,1574541469,83,-12.18,136.78,26.0,2.6
365,Starodzhereliyevskaya,0,RU,1574541472,59,45.48,38.3,-1.11,0.45
366,Felanitx,40,ES,1574541473,54,39.47,3.15,14.93,3.6
367,Los Alamos,1,US,1574541474,45,35.88,-106.3,7.11,1.5
368,Harindanga,19,IN,1574541475,93,22.04,88.32,19.0,1.96
369,Sohatu,90,RO,1574541477,100,44.32,26.5,2.01,2.1
370,Manado,40,ID,1574541478,88,1.49,124.85,24.0,1.5
371,Umkomaas,72,ZA,1574541479,94,-30.21,30.8,21.48,7.34
372,Khorixas,10,NA,1574541480,41,-20.37,14.96,17.88,4.6
